STIS,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,chla,DOC
7605,10.6,216,4.75,396,0.61,0.77,3.25,17.56,5.18,4.53,10.86,1.717,17.02
7607,25,271,6.51,424,0.61,0.89,3.84,19.42,6.18,5.57,12.97,0.6578,2.48
7608,11.7,217,4.38,384,0.61,0.85,3.69,18.63,5.75,5.22,12.34,1.883,2.79
7609,20.9,168,6.11,363,0.61,0.85,4.4,16.6,5.21,5.73,13.95,2.013,3.79
7610,19.3,180,5.26,361,0.61,0.88,4.14,18.04,5.78,5.68,13.69,2.345,2.92
7612,21,198,4.4,361,0.61,0.89,4.06,18.63,5.84,5.65,13.56,1.1315,2.64
7613,20.4,187,4.96,346,0.61,0.86,4.22,18.15,5.85,5.85,13.65,1.704,3.7
7614,12.9,185,5.18,337,0.61,0.84,3.8,18.04,5.61,5.35,12.84,2.244,2.99
7616,22.4,271,5.9,410,0.61,0.89,4.4,21.09,6.46,5.94,13.89,0.5621,2.17
7617,16.4,167,4.31,508,6.14,0.89,8.64,19.37,5.61,5.41,12.85,2.026,3.08
7618,18.9,164,3.56,350,0.61,0.85,4.04,19.01,5.79,6.16,12.31,1.412,3.04
7619,12.6,197,3.77,415,0.61,0.9,4.22,20.21,6.25,6.49,13.3,0.9938,2.48
7620,17.8,199,3.56,357,3.77,0.9,5.25,20.33,6.25,6.47,13.37,1.008,2.33
7621,18.3,163,3.18,392,0.61,0.92,4.24,20.66,6.28,6.49,13.22,1.04,3.07
7623,13.6,188,2.86,346,0.61,0.89,4.18,19.73,6.15,6.35,12.96,1.067,2.14
7625,25,236,4.47,397,0.61,0.98,4.39,21.91,6.8,6.74,14.15,0.4373,2.36
7626,12.8,196,3.04,335,7.82,0.9,4.21,20.79,6.3,6.44,13.28,1.19,2.26
7627,16.8,213,4.44,366,0.61,0.92,4.22,21.51,6.42,6.59,13.31,0.8532,1.91
7629,23.9,245,4.95,374,0.61,0.93,4.68,22.61,6.83,6.81,14.25,0.1698,2.02
7630,21,228,3.72,377,1.72,0.93,4.28,21.09,6.58,6.76,14.13,1.6196,2.5
7631,19.2,196,3.59,377,0.61,0.95,4.98,21.78,6.53,7.25,13.61,0.998333333,1.9
7632,19.7,208,3.86,358,0.61,0.96,5.28,21.58,6.6,7.23,13.43,0.9516,2.26
7633,24.7,224,4.79,359,0.61,0.93,4.61,22.27,6.58,7.21,13.58,1.46,2.12
7634,24.3,223,3.83,372,0.61,0.93,4.65,21.31,6.52,7.29,13.54,0.6835,2.14
7636,17.1,225,4.07,409,0.61,0.93,4.79,22.1,6.88,7.01,14.08,0.7031,3.01
7638,28.7,216,4.64,438,0.61,1.01,4.93,22.06,6.68,7.03,13.92,0.3291,2.25
7639,24.5,254,4.53,387,0.61,0.95,4.6,22.06,6.87,7.05,14.03,0.9494,2.24
7640,17.1,210,4.6,370,0.61,0.94,5.01,21.77,6.63,7.28,13.79,0.7571,2.28
7642,29.5,251,4.59,391,2.83,0.97,4.49,21.9,6.86,6.98,14.03,0.2783,2.18
7643,22.1,230,4.75,366,0.61,0.97,4.57,23.63,6.7,7.03,14.18,0.9234,2.08
7644,21.6,261,4.48,459,0.61,1.05,5.38,25.82,7.53,8.74,14.41,0.7954,2.61
7645,13.8,238,4.13,411,11.4,0.99,4.65,22.81,6.97,7.47,14.27,1.023,2.22
7646,18.5,235,3.89,389,3.33,1,4.65,22.09,7.24,7.14,14.39,0.5935,2.12
7647,20.3,220,3.91,382,0.61,1,4.57,22.66,7.23,6.98,14.22,0.7881,2.13
7649,21.6,240,4.45,402,0.61,0.96,4.47,21.24,6.86,7.07,14.33,0.5851,1.87
7651,26.3,238,5.92,436,0.61,0.97,4.51,21.51,6.75,7.01,14.25,0.2529,2
7652,14.2,224,4.41,385,0.61,0.96,4.38,21.6,6.76,6.95,14.39,1.335,2.17
7653,16.7,218,3.6,368,0.61,0.95,4.95,21.39,6.57,7.07,14.03,0.5052,2.14
7655,26.1,259,4.55,475,0.61,1,4.52,21.56,6.87,7.02,14.25,0.195,2.12
7656,12.1,214,2.9,375,0.61,0.91,4.38,21.77,6.8,6.92,14.51,2.041,1.97
7658,45.4,292,4.42,455,3.34,1.04,4.87,25.26,7.94,7.75,16.24,0.8583,2.11
7659,40.1,292,3.67,473,0.61,1.03,4.79,24.79,7.82,7.74,16.19,0.8343,2.08
7660,33.1,266,4.5,461,0.61,1.1,4.86,24.42,7.68,7.76,16.39,0.8233,2.16
7662,12.6,281,3.93,418,0.61,1.01,5.07,23.54,7.66,7.29,16,0.5571,2.11
7664,32.8,290,4.79,465,0.61,1.01,4.93,24.22,7.44,7.07,16,0.4257,1.75
7665,35.1,282,4.22,420,0.61,1.03,4.61,24.09,7.61,7.12,16.05,0.7415,1.81
