SiteID, Epischuralacustris, Eurytemoracarolleea, Leptodiaptomusashlandi, Leptodiaptomusminutus, Leptodiaptomussicilis, Limnocalanusmacrurus, Senecellacalanoides, Skistodiaptomusoregonensis, Diacyclopsnanus, Diacyclopsthomasi, Mesocyclopsedax, Microcyclopsvaricans, Tropocyclopsprasinusmexicanus, Alonaspp, Alonella, Bosminalongirostris, Bosminaspp, Bythotrepheslongimanus, Cercopagispengoi, Ceriodaphniaspp, Chydorussp, Daphniagaleatamendotae, Daphnialongiremis, Daphniaparvula, Daphniaretrocurva, Daphniaspp, Diaphanosomaspp, Eubosminacoregoni, Eurycercuslamellatus, Holopediumgibberum, Leptodorakindti, Polyphemuspediculus, Harpacticoidcopepodites, Calanoidcopepodites, Epischuracopepodites, Limnocalanuscopepodites, Senecellacopepodites, Cyclopscopepodites, Mysisdiluviana
 Ztx153-22658 ,625,0,2251,6063,63,438,0,188,0,1751,438,0,0,0,0,750,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27813,3938,63,188,5938,0
 Ztx153-22094 ,0,0,285,855,0,0,0,665,0,1330,475,0,190,95,0,10070,0,0,0,0,0,0,95,0,0,0,0,0,0,1045,0,0,0,12730,855,0,0,19570,0
 Ztx153-22550 ,97,0,32,1610,0,0,0,1127,0,32,129,0,96,0,0,161,0,50,0,0,0,0,0,0,0,0,32,0,0,708,0,0,0,10626,322,0,0,1674,0
 Ztx153-22098 ,71,0,847,565,0,424,0,987,0,2468,494,0,141,0,0,8672,1058,16,0,0,0,0,71,0,0,0,0,0,0,1340,0,0,0,19106,635,282,0,12549,0
 Ztx153-22554 ,150,0,2036,1584,0,0,0,2790,0,1583,679,0,75,0,0,6032,0,50,0,0,0,0,0,0,0,0,0,0,0,679,0,0,0,9425,302,0,151,9802,0
 Ztx153-22090 ,0,0,402,804,0,0,0,1407,0,603,603,0,0,0,0,22110,402,3,0,0,0,0,0,0,201,201,0,0,0,2412,0,0,0,6030,0,0,201,92862,0
 Ztx153-22546 ,265,0,4187,530,0,0,0,1272,0,53,53,0,159,0,0,159,0,36,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,13144,1961,0,0,4823,0
 Ztx153-22294 ,0,0,538,813,75,75,0,651,0,1025,38,0,50,0,0,1638,125,9,0,0,0,0,0,13,0,0,0,0,0,88,0,0,0,2250,188,125,13,1675,0
 Ztx153-22222 ,0,0,300,90,0,240,0,780,0,750,180,0,0,0,0,8700,300,2,0,0,0,30,0,0,0,270,0,0,0,60,0,0,0,4560,330,60,0,5130,0
 Ztx153-22264 ,0,0,0,0,0,0,0,119,0,830,0,0,0,0,0,21093,1778,1,0,0,0,0,0,0,119,356,0,0,0,119,0,0,0,5451,0,0,0,21567,0
 Ztx153-22382 ,0,0,68,68,0,0,0,0,0,203,0,0,0,0,0,9450,135,12,0,0,0,0,0,0,0,1890,0,0,0,2768,203,68,0,2093,540,0,0,14445,0
 Ztx153-22682 ,35,0,980,560,35,0,0,385,0,140,0,0,0,0,0,1400,420,35,0,0,0,0,0,0,35,0,0,0,0,3710,0,0,0,9065,280,0,0,4375,0
 Ztx153-22298 ,0,0,2184,2392,208,312,0,1456,0,2600,0,0,156,0,0,1404,52,29,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,4992,104,624,0,3952,0
 Ztx153-22226 ,368,0,736,74,0,0,0,442,0,3014,0,0,0,74,0,15141,74,7,0,0,0,147,0,74,0,221,0,0,0,441,0,0,0,12422,294,74,0,18816,0
 Ztx153-22268 ,0,0,704,0,0,352,0,176,0,10032,528,0,0,0,0,59840,5632,4,0,0,0,0,0,0,704,0,0,0,0,352,0,0,0,6688,0,0,0,20768,0
 Ztx153-22386 ,452,0,1130,226,0,452,0,0,0,5876,452,0,0,0,0,59664,15142,4,0,0,0,0,0,0,1130,226,0,0,0,3616,678,226,0,6554,452,0,0,31640,0
 Ztx153-22686 ,79,0,711,1580,79,79,0,1185,0,1185,237,0,0,0,0,6952,3239,40,0,0,0,0,0,0,79,0,0,0,0,6794,0,0,0,9559,1422,158,0,8769,0
 Ztx153-22302 ,0,0,4512,940,141,329,0,376,0,4982,188,0,94,0,0,3243,517,22,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,4888,0,282,188,6110,0
 Ztx153-22230 ,0,0,450,90,90,270,0,45,0,2115,135,0,90,0,0,1845,945,7,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,8235,0,315,45,8280,0
 Ztx153-22272 ,0,0,1548,0,0,172,0,0,0,7568,172,0,0,0,0,39044,4472,9,0,0,0,0,0,0,0,0,0,0,0,3268,172,0,0,10492,172,0,0,17888,0
 Ztx153-22390 ,386,0,2185,386,0,643,0,1542,0,15164,129,0,0,0,0,33410,4883,11,0,0,0,129,0,0,257,0,0,0,0,3084,257,0,0,9381,129,129,257,23644,0
 Ztx153-22690 ,500,0,2300,3000,100,0,0,900,0,1400,300,0,0,0,0,10700,1100,21,0,0,0,0,0,0,0,0,0,0,0,2700,0,0,0,12700,700,0,200,11100,0
 Ztx153-22218 ,0,0,0,0,0,0,0,378,0,81,0,0,0,0,0,9126,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,351,189,0,0,2160,0
 Ztx153-22678 ,4,0,11,32,4,0,0,7,0,18,4,0,4,0,0,382,0,23,0,0,0,0,0,0,28,0,0,0,0,749,7,0,0,217,105,0,0,200,0
