STIS,Depth,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,chla,DOC,TSS,VSS
7328,Bottom ,15.4,245,4.58,358,0.61,0.96,4.41,22.43,6.65,,,0.2917,2.3,0.02,0.007
7329,Mid,8.81,242,4.41,389,0.61,0.97,4.38,22.74,6.8,,,1.1455,2.37,0.12,0.02
7330,Epi,15,250,4.37,411,0.61,1,4.7,23.77,6.81,7.47,14.01,1.2309,2.67,0.707,0.0653
7331,Mid,13.5,226,4.31,399,0.61,0.97,4.44,22.94,6.76,7.06,13.95,0.5846,2.42,0.453,0.0393
7332,Bottom ,22,240,5.38,382,0.61,0.98,4.43,23.15,6.71,7.01,14.24,0.5971,2.23,0.207,0.147
7334,Epi,13.2,240,4.19,382,2.73,0.99,4.58,23.13,6.76,,,0.7359,2.08,0.227,0.12
7336,Bottom ,17.2,247,4.47,378,0.61,0.99,4.56,23.01,6.84,,,0.3789,2.74,0.153,0.033
7337,Mid,11.1,240,4.52,380,6.1,0.99,4.41,22.18,6.77,,,1.3806,2.12,0.133,0.12
7338,Epi,17.9,242,4.58,418,2.61,1,4.44,22.75,6.82,,,0.5522,2.05,-19.38,0.147
7340,Bottom ,16.9,258,4.8,380,4.09,0.93,4.43,22.84,6.77,,,0.1839,2.3,0.18,0.153
7341,Mid,13.6,242,3.6,434,9.72,0.92,4.42,22.41,6.66,,,0.8975,2.03,0.407,0.2
7342,Epi,14.5,325,6.08,479,9.72,0.98,4.45,24.9,7.68,,,0.5286,2.53,0.74,0.5
7343,Mid,13.6,271,4.7,422,8.39,0.96,4.35,23.77,7.47,,,0.6191,2.06,0.56,0.247
7344,Bottom ,10.1,251,4.35,383,1.86,0.94,4.34,23.46,7.26,,,0.4726,2.23,0.333,0.267
7346,Epi,15.2,363,3.94,531,4.66,0.98,4.48,24.92,7.51,7.34,16.02,0.3376,1.87,0.367,0.233
7348,Bottom ,10.2,274,5.25,406,9.54,0.95,4.37,24.09,7.29,7.04,15.69,0.7127,2,0.08,0.06
7349,Mid,10.3,273,4.76,400,6.38,0.95,4.35,23.56,7.45,7.06,15.72,1.1624,1.85,0.313,0.193
7350,Epi,17.6,332,6.67,472,3.9,,,,,,,0.2023,2.06,0.24,0.113
7352,Bottom ,20.9,294,6.35,427,2.88,,,,,,,0.1816,1.84,0.047,0.02
7353,Mid,9.94,202,6.3,448,0.61,,,,,,,1.389,1.94,0.26,0.047
7354,Epi,29.6,311,7.94,490,0.61,,,,,,,0.2667,2.28,0.38,0.34
7355,Mid,16.3,314,10.8,482,0.61,,,,,,,0.4469,2.11,0.393,0.147
7356,Bottom ,15.3,287,5.39,450,0.61,,,,,,,0.4879,2.6,0.273,0.16
7358,Epi,12.8,317,5.63,488,0.61,,,,,,,0.4592,2.35,0.58,0.54
7359,Mid,12.3,273,7.34,437,6.36,,,,,,,0.7977,2.17,0.34,0.287
7360,Bottom ,14.5,274,5.21,476,0.61,,,,,,,0.7737,1.86,0.227,0.227
7362,Epi,17.9,259,6.85,493,0.61,,,,,,,0.3849,1.98,0.3,0.267
7363,Mid,13.4,278,6.07,400,6.84,,,,,,,0.5109,1.61,0.227,0.007
7364,Bottom ,14.5,275,6.3,429,0.61,,,,,,,0.4682,2.08,0.133,0.167
7366,Epi,8.11,301,3.28,487,0.61,,,,,,,2.2986,2.71,1.007,0.847
7368,Bottom ,15.2,170,5.96,386,0.61,,,,,,,0.9638,2.1,0.607,0.28
7369,Mid,11.3,282,4.74,486,8.86,,,,,,,1.9018,2.26,0.933,0.727
7370,Epi,13.3,292,4,441,2.04,,,,,,,0.5524,2.07,0.267,0.2
7371,Mid,14.7,276,4.94,415,2.78,,,,,,,0.5588,1.93,-0.2,0.007
7372,Bottom ,13.8,243,3.94,422,0.61,,,,,,,0.2383,1.72,0.127,0.1
