STIS,Month,MonthPeriod,Ship,Lake,Site,Area,DFS,Research Project,UnifiedDate,Collection Date,TimeEST, SiteDepthm,Depth,Separatedepthsm,DCL,StratifiedUnstratified,NH4ugNL ,NOxugNL,SRPugPL,TNugNL,TPugPL,KmgL,NamgL,CamgL,MgmgL,ClmgL,SO4mgL,DOCmgCL,SimgSiO2L,chlaugL
22158,June,E June,LEII,Lake Huron,Harbor Beach 5,SMB,Nearshore,CSMI,6/7/2022,6/7/2022,8:56,6.2,Epi,5,No,Unstratified,16.2,331,2.02,478,7.02,0.91,4.81,23.1,7.62,8.58,16.01,1.99,3.32,0.56
22158A,Aug,Aug,LEII,Lake Huron,Harbor Beach 5,SMB,Nearshore,CSMI,8/4/2022,8/4/2022,17:30,5.2,Epi,1.6,No,Unstratified,25.4,245,3.1,418,4.2,0.94,4.78,24.64,7.5,8.46,15.29,2.26,4.17,2.24
22170,June,E June,LEII,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI,6/7/2022,6/7/2022,13:28,63.8,Epi,5,No,Stratified,7.18,293,3.6,420,6.68,1.05,4.36,23.02,7.37,7.57,15.79,1.84,5.16,0.46
22171,June,E June,LEII,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI,6/7/2022,6/7/2022,13:28,63.8,Mid,32,No,Stratified,10,327,3.3,418,6.05,1.01,4.33,23.94,7.51,7.56,15.72,1.77,5.05,0.77
22172,June,E June,LEII,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI,6/7/2022,6/7/2022,13:28,63.8,Bottom,60,No,Stratified,9.72,291,3.79,400,6.71,0.97,4.2,23.13,7.36,7.49,15.57,1.75,4.79,0.75
22326,June,L June,USGS,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI -USGS biweekly sampling,6/20/2022,6/20/2022,,,Epi,5,,,,,,413,4.31,,,,,,,,,0.33
22328,June,L June,USGS,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI -USGS biweekly sampling,6/20/2022,6/20/2022,,,Bottom,61,,,,,,441,3.63,,,,,,,,,0.84
22329,June,L June,USGS,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI -USGS biweekly sampling,6/20/2022,6/20/2022,,,Mid,35,,,,,,454,2.31,,,,,,,,,0.95
22342,July,E July,USGS,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI -USGS biweekly sampling,7/10/2022,7/10/2022,,,Epi,5,,,,,,438,3.36,,,,,,,,,0.38
22343,July,E July,USGS,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI -USGS biweekly sampling,7/10/2022,7/10/2022,,,Mid,23,,,,,,458,1.92,,,,,,,,,0.7
